	active|dispossess|goods|minimal
ඔමරි	coquetry|coquettish
ඓන්ද්‍රියක	sensuous
සුබෙරීභූත	suberized
බද්ධපර්යංක	cross-legged
උද්දීපතය	irritability
ඇම්පෙටමින්	amphetamine
අල්පාංක	oligomerous
ළැදි	devoted|faithful|ready
නිහැඩවීම	amorphism
මූර්ඡනය	modulation
සාලාව	hall
නරවෘකයා	werewolf|werwolf
අනුනාදක	resonant
වත්කරනවා	pour
ඉත්තෑවා	hedgehog|porcupine
නිතිපතා	constantly
පජර	present
ආධිපත්‍යතාව	dominium
සේරුව	measure|sheer
නසරීනයෝ	nazaranes
කැරුබිනේස්	caroubinase
නිෂ්පාදක	producer|productive
විකර්ණාකරණය	diagonalizable
සාළිස්	forty
වරාහ	pig
අතිතරම	oversize
බුලත්විට	quid
වනචර	barbarian|barbaric|barbarous|savage|wild
පුර්වජයා	ancestor
කාලව්‍යතික්‍රමය	anachronism
සෝදුපත	proof
ලයරය	lyre
ශාකය	herb|plant
පැරපින්	paraffin
අනුපකාරය	non-assistance|non-cooperation
මහමොළය	cerebrum
සැබවින්	actually
විමුක්තිදානය	liberation
අන්තශ්ශාකීයතාව	endophytism
දෘෂ්ටිවාදියා	vissionary
ස්වාධූලනය	auto-intoxication
එයරොසොලය	aerosol
සැලීම	hunting|screening|shaking|shivering|throb|tremble|vibrtion
යාත්‍රීයතාව	navigability
විද්‍යුතාස්‍රතිය	electroosmosis
බහුධාරි	multiparous
සභිරු	dangerous
ආන්තරීය	interlocutory|mesne
ද්විපරමාණුක	diatomic
වඩිනවා	move|proceed
කැරිබියානුවෝ	caribs
පරමෝත්කර්ෂය	climax
අබාධිත	absolute|free|infirmity
හියුමස්	humus
පැදුන්	east
කවිතාව	poetry
කෝඩෝව	cordeau|cordtex
කාලවේදය	timology
නිෂ්ක්‍රමය	emigration
ට්‍රැවටින්	travertine
තීව්‍රතා	intensity
නිවාඩුව	fiesta|leave|rest|vacation
ඩොංගාව	donga
දුර්ලේඛය	dysgraphia
ලලායනය	lalling
තැන්පතු	deposits
පත්‍රකලාරූපී	journalistic
ප්‍රතියුවීභවනය	rejuvenation
ව්‍යසමාවෘත	obimbricate
මොල්ලිය	hump|hunch|withers
තාපස්ථායී	thermo-labile|thermostabile|thermostable
පරිනිරීක්ෂණය	scrutiny
සාමාර්ථ්‍යය	competence|freedom
තාන්ත්‍රික	tantric
කුලවැද්දුම	adoption
අපගමනය	apagoge|daviation|departure|deviation|lapse|retreat
සුදුව	albedo
වගුරවනවා	effuse
යුරියා	urea
ලුහුජු	brief
පේශීය	muscular
පිතෘ	father
දශමාංශය	log|mantissa
ධනේශ්වරවාදියා	capitalist
හැඩයම්	formwork
කිරිගොටුව	colander|cullender|milk-strainer
තීක්ෂ්ණභාවය	acumen
ළදරුවිය	infancy
කරු	stilts
රංග	dance|stage
බෙදාහැරීම	distribution
රොන්ස්කියානය	wronskian
වශීකෘතය	hypnotic
ප්‍රාණකාරයා	person
ක්‍රියාකාරකම්	activities
ද්විගුණනතාව	duplicity
විධානාත්මක	imperative
ජනයා	folk|mass|people|population
සංරචකය	component
ගැස්ට්‍රින්	gastrin
අල්පෝෂ්ණ	microthermal|microthermic
උත්වනය	survival
දියබිබිල	blister|vesicle
බැක්ටීරියාහය	bacterioid|bacteroid
නිවර්තනය	deterrence|tropic
කුංවතාභය	strophoid
ප්‍රතිප්‍රමාණය	revaluation
මල්වගාව	floriculture
ස්නායුක්ෂයය	neurasthenia
කුලතාපූර්ණ	gifted
ඇකිල්ල	chain|shackle
සනුහර	race
වැළකූ	averted
සහාය	assistance|assistant|assisting|associate|auxiliary|help|subsidiary|succour
අවච්ඡින්න	continual|continuous
සර්වකාර	omnifarious
පරිචය	experience|habit|practice
සිවුරඟ	fourfold
සමෂ්ඨීය	aggregate
ප්‍රතිකූල	abhorrent|adverse|contraposed|counter|disgusting
බ්ලිප්	blips
අනුසංස්කෘත්‍යායනය	enculturation
ප්‍රමාණවාචක	comparative
හමාරයි	closed
මඤ්ජුසාව	box
වසල්	large
මාහාත්ම්‍ය	tectonic
අකෘත්‍රිම	natural
ප්ලාවංග	plankton
කාන්තාරකරණය	desertification
සමතිරික්ත	redundant
සංසීමනය	confinement
බර්ලස්ක්	burlesque
සික්‍රිටින්	secretin
මැඩලනවා	curb
විරේචක	aperient|cathartic|laxative|purgative
ෂඩ්කෝණික	sexangular
බෙදනය	divider
වැලිගල්	sandstone
චංචල	astable|desultory|movable|moveable|restless|unbalanced|unstable|unsteady|volatile
ස්වදේශියා	native
විසර්ගය	discharge
විපර්යාසය	change|inversion|lusiform|lusus|misfortune|mutation|perversion|reversal|reverse|reversion|sport|transformation
මද්දුම	middle
නියමය	clause|appointment|assignment|behest|canon|commission|committal|condition|decree|demand|destiny|dictum|direction|directive|duty|formality|formula|institute|institution|instruction|law|line|maxim|measure|norm|observance|order|predestination|prescription|principle|provision|proviso|redquirement|regulation|restriction|rule|stipulation|term
ඒකස්වනය	unison
වර්ණාවලීක්ෂණය	spectroscopy
කඩුක්කන්	ear-ring
දිනදර්ශනය	calendar
වැරදවීම	bungling
ශරාව	flask|goblet|lamina|mug|stoup
වළඳනවා	eat
වඳුරා	ape|monkey
කරවෙනවා	sizzle
බාහිරස්ථ	extrinisic
ද්වීවිවාහය	bigamy
වලංගුබව	validity
ගල්වඩුවා	mason
පුස්තකාලයාධිපති	librarian
පැටලීම	bafflement
බැදීම	seizing
දුක්ගන්නාරාළ	ombudsman
සැබැවින්ම	forsooth|virtually
ක්ධාන	concentration|trance
ආප්තෝපදේශය	adage|apophthegm|apothegm|maxim|proverb|saw
සිද	hole|needly
පිපෙනවා	blossom|blow|puff
වමත්	cack-handed|gauche|left-handed
රැළි	fold
ඉවත්කුරුව	eliminator
අකීකරුකම	contumacy|disobedience|insubordination|recalcitrance
කඩාලනවා	break|pluck
වාවුරුව	gasket
ඇපකරය	bailbond|bond
ප්‍රතිගාමීත්වය	reaction
විතරයි	only
ධ්වනිරේඛය	phonautograph
දාවූ	begotten
ගතිවිද්‍යාව	dynamics
මුවා	buck|deer
දේවාවිශ්කරණය	theophany
මෝස්තරකාර	chic
බසිඩියොමිසේටේස්	basidiomycetes
දෘඩතාව	rigidity
පිළිවෙල	order
හයිඩ්‍රොජෙලය	hydrogel
මුණගැස්වීම	confrontation
උතුරනවා	boil|overflow
පාරදෘශ්‍ය	hyaline|transparent
අධිභක්තිමත්	saintly
තැතිගන්නවා	dread|fear|quail
රමණයා	gallant
ඉඳිකරනවා	build|construct
සීතකරණය	refrigerator
පභංගුර	fragile
වැනසිල්ල	destruction
ඉස්පයිය	cap|hood
කායික	bodily|carnal|corporeal|physical|physiological
ඉන්දනවා	plant
ද්‍රවභීතික	lyophobic
අන්තරීක්ෂණය	introspection
සිදුරු	hole
හපන්	adroit|clever|crack|cute|dexterous|dextrous|erudite|handy
ලියවන්නා	turner
විහිදුණු	expanded|wide
බහුජාතීය	multiracial
නිද්‍රාචාරියා	somnambulist
කොටස්කරු	share-holder|shareholder
මහිමය	glory|grandeur|greatness|majesty|wonder
මණ්ඩනය	decoration|garniture
සමත්ත	up-stream
නිර්ලෝභ	generous
ශ්‍රෙණිය	corporation
අඛිල	complete|entire
නිමීලදලතාව	cleistopetaly
විදුහල්පති	principal
මූලපදය	keyword
විරවනවා	grin
මහබෝසත්	bodhisatta
නිද්‍රාණ	dormant
කරුව	bifurcation|bracket|crotch|fork|prop|strut
ලොඩිය	pulp
පූරවගතතා	antecedents
වසම	division|domain|parish
අහිතකර	adverse|contrary|offensive|unfavorable|unhealthy
ස්වප්‍රතිහ්‍රාහකය	proprioceptor
හෝවු	whoa
මතුපිට	on|over|suface|super|superficial|surface|upon
චෙරෝකියානු	cherokee
දෙගංමැදිය	doab
ද්විපක්ෂ	bipartisan|biparty
සර්වත්‍රවර්තී	ubiquitous
ගුල්ඵය	ankle
දිශානත	oriented
අසමත්කම	incapacity
නිල්කළු	azurine
ජෛවමිතිය	biometry
ඩිරෙක්ටරිය	directory
විළිරුජාව	pains
ගල්අඟුරු	coal
ශොධක	corrective
තුවාලය	blain|cut|distress|gash|hurt|injury|lesion|sore|wound
බව	becoming|nature|state|that
වාග්චාතුර්යය	eloquence
අනාගතය	future|futurity|prospects
රාෂ්ට්‍රපති	president
වංශාධිපති	lord|patrician
පුංඒකගෘහික	andromonoecious
විනෝදප්‍රිය	jovial|rackety
ගෝනිරෙදි	duck|hessian|sacking
අභූතාත්මක	chimerical
ප්‍රබන්ධවාදය	fictionism
සනීපදායක	bracing|wholesome
හපාකෑම	snap
අවිවාදික	axiomatic
ජවසරඹහල	gymnasium
පින්තූරය	picture
කුළුගෙඩිකරුවා	striker
භාගක	fractile|quantiles
ඉල්ලුම්කරු	applicant
අස්වනතාව	aphonia
කොලාජ්	collage
අශ්වාරෝහක	cavalcade|cavlier|equestrian|horseman
ඉහළින්	above|aloft|best|highly
මුළුතැන්ගේ	kitchen
රේඛීය	linear
ගුරුත්වමානය	gravimeter
කටකතාව	rumour
පත්වීම	appointment|placement
මිසයිලය	missile
නිර්ණායන	deterministic
ධනපතිවාදය	capitalism
සුකුමාල	young
ඔක්සින්	auxin
ස්ථානික	endemic|local
අමුතුවෙන්	afresh|anew
කරඬුව	reliquary
පුළුවන්කාරකම	high-handedness
වියත්ගණය	senate
සර්වකාලීන	eternal
වෛශ්‍රාමිකය	pension
අභාවවාචක	negative
පැටලුණ	confused
බැක්ටීරියාවේදය	bacteriology
ගවේෂක	exploratory|explorer|resercher|sounding
ත්වර	quick
නියොන්	neon
වර්නියරය	vernier
පරිස්ථානීයකරණය	localisation
මිහි	earth
ස්පෙල්ටර්	spelter
බිළිඳා	babe|baby|bairn|infant
රේගලය	rail
ප්‍රොමන්	promadine
එපිස්කෝපය	episcope
පථිකයා	commuter
සහදර්ශය	semitype
නිවාස	housing
ගන	hard|thick
අධිසාමාක	fellow
පාරාවලල්ල	boomarang
එක්මතිය	concurrence|contract
ව්‍යාජඒකකොටිල	pseudomonocotyledonous
කෝණමානය	protractor|quadrant
පර්යන්තය	border|bound|margin|peripheral|periphery|terminal|terminus|threshold
මකරා	dragoman|dragon
අපගාමක	deviating
කපාලේක්ෂය	cranioscopy
පාදය	bar|base|foot|grounds|leg|line|phrase|podium|podus|quarter|side
වෙද	physician
ව්‍යනුකලනය	disintegration
නිගරුව	disgrace
කුණ්ඩලිය	circuit
චර්මපරපෝෂිතය	dermatophyte
බීජශාකීය	spermaphytic|spermatophytic
කවිකාරයා	poet|versifier
සිහිවිකල්	confused|mad
සන්තති	continuum
ඵරසුව	axe
ප්‍රතිපක්ෂය	opposition|reverse
රද	dust|king|ray
සන්ධාපනය	deposit
මිණුම	measure
තුසිත	heaven
මොලි	crest|crown
ක්ලෝමරේඛනය	bronhography
අහංකාරය	arrogance|assumption|conceit|dignity|egoism|presumption|pride|self-conceit|self-esteem|vanity
මතිභ්‍රමය	misconception|mistake|paranoea|paranoia
සුරාපානෝත්සවය	carousal|carouse|carousel
මාංසපේශී	muscle
නියෝජනාත්මක	representative
අසනීපගතිය	indisposition
ජනහමුව	rally
තුෂ්ටිජනක	gratifing
රුහිර	blood
දේවනියමය	dispansation
බෝගිය	bogie
හන්දිය	cross|junction
අභිරහස්	mysterious|mystery
පිටෝසින්	pitocin
කෝවිය	corvee
පහදනවා	explain
හිඟුල්	vermilion
පොරය	close|battle|bout|combat|conflict|contention|contest|debate|engagement|fight|fray|jar|jostle|match|meeting|scramble|scuffle|set-to|tackle|tussle
ලඝුලේඛනය	short-hand|stenography
පංතිය	class|denomination
යදෘච්ඡිකවාදය	casualism
ප්‍රඥප්තකය	referend
කෙල්ටික	celt|celtic
ප්‍රතිකර්තෘ	reactor
සදාතනය	aeviternity
ආතානක	tensor
ගිරි	mountain|rock
තිසරා	swan
වෙස්මූණ	mask
ලිංගත්වය	sex
කප්පම	ransom|tribute
භක්ෂණය	eating
උකටලීභාවය	melancholia
දෝෂය	blemish|blunder|buck|bug|conspurcation|defect|erratum|error|failing|fault|flaw|foible|imperfection|lapse|mistake|taint|weakness
සිතුවම	painting
කොලපුව	spathe
උපන්	born|bred
දියකුස	world
පැතිකඩ	profile
මනෝධීන	temperamental
තෑන්ද	awning|tilt
පිල්ලුව	charm
එළිමහනෙහි	al-fresco|without
අවෑම	ageing
සම්ප්‍රතිඥාදෙනවා	stipulate
අනර්ථදායි	baneful
ගවුසය	gauss
ස්වාධිකාරය	autonomy|patent
වැනෙනවා	coggle|flap|swing|teeter|waggle|wave|waver
නිශ්ශබ්දව	dumbly|still
බාහිරස්ථයෝ	outliers
විචුම්බකය	demagnetiser
බහු	many|multi|multiple|plural|poly
වලග	tail
ප්‍රොමිතියම්	promethium
දිගකටුව	prickle
අශිෂ්ට	abandoned|clownish|barbaric|chrulish|churlish|crude|gothic|heathemish|ill-bred|impolite|impossible|indecorous|malefic|maleficent|obscene|pagan|raffish|rough|rude|rustic|savage|scurrilous|uncivilized|uncouth|underbred|ungracious|unmannerly|unpolite
වාලික	sandy
වාහල්කඩ	gateway|vestibule
ප්‍රලාභය	recovery
සැඩවරය	rapids
කයින්	physically
යතුරුපුවරුව	keyboard
ස්වාදුභක්ෂකයා	gastronome|gastronomer|gastronomist|gastrophile
ත්‍රිශූලය	trident
තාක්ෂණවේදී	technological
සුධාල	chyle
මැස්ස	bed|frame|gantry|loft|platform|platform|scaffolding|staging|stand|trestle
සමාජීය	social
ජාරි	paramour
අතිසංක්ෂෝභය	hyperthymia
අපසෘතිය	divergence
යුද්ධනැව	warship
මුකර	talkative
මැටිකරුව	matrix|mould
ගොඩගැසී	aheap
මාංස	flesh|meat
බංකොලොත්කරු	bankrupt
ටෙට්‍රන්ඩ්‍රියා	tetrandria
නිස්සාරණය	extraction|leaching
අවිශ්වසනය	mistrust
නිවුඩ්ඩ	bran
සංඥාපක	denominative
විවේචනය	comment|criticiam|criticism|discrimination|notice|review|revisionism
එසවුම්	lifting
ඉලක්ක	target
නිතැතින්	involuntarily|simply
ප්‍රාග්සංගමය	associes
චක්‍රදන්තය	cog
ධ්වජභග්නය	impotence
වාහිනී	army|river|tracheal
පේශිය	muscle
පළිගහනවා	avenge|curse
හිස්ටමින්	histamine
විභාවනය	exposition|expression|perception
ලභ්‍ය	due
එළිදරව්ව	apocalypse|revelation
ප්‍රියසම්භාෂණය	social
පීඨාධිපති	dean
ප්‍රත්‍යාවෘත්තිය	retrogression
අභිවාදනය	cult|greetings|obeisance|respects|salute|veneration|worshipping
යුග්ලිනාවා	euglena
අත්‍යවශ්‍ය	essential|obligatory|vital
සමවිස්තෘත	coextensive
මනෝරාජ්‍යය	utopia
ඉසිතනවා	entertain
පුසි	castrated
අල්ගොලිකෙනේස්	algolichenes
දර්ශකය	index|indicator|mirror|pointer
වල්ගය	tail
තෘණවිද්‍යාව	agrostology|botany
අනෛන්ද්‍රික	inorganic
රසාන්වය	chemotaxis|chemotropism
හේෂාරවය	neigh
පෙළට	abreast
සිටාණ	existed|nobleman
ගුවන්	aerial|air|sky
මානවසත්ත්වභාවය	zooanthropy
වාරිමාර්ග	irrigation
වාස්සනය	percolator
තෝරාගන්නවා	cull|elect|pick|select
මිත්‍රයා	cobber|associate|billy|companion|comrade|confidant|fellow|friend
අදක්ෂ	clumsy|amateurish|awkward|bolshie|cack-handed|callow|craftless|gauche|heavy|inapt|incompetent|inefficient|inept|inexpert|maladroit|shiftless|unclever|uncouth|unhandy|unskilful|unskilled|unskillful|unversed|wooden
දේභාවය	perseity
උපයෝජ්‍යතාව	adaptability|availability|utility
අතිඑතුම	overwinding
සුධීමත්වය	genius
කස්කුරුප්පුව	cork-screw|corkscrew
කණ්ඩමාලය	goitre
අපභ්‍රමය	misadventure
ඉටුකරන්නා	performer
විකලය	deformity|failure|mutilation
ඔදවැඩි	sappy
ප්ලීබොටමස්	phlebotomus
වසුමති	earth
දාරකයා	child|infant|offspring
දුරාචාර	immoral|lewd|loose|profligate
ඇලුමිනා	alumina
සිත්	mind
ඒකාක්ෂය	raceme
ප්‍රගල්භ	arrogant|audacious|bold|cool|daring|forward|presumptuous|saucy|strong
මූලාභ	rhizoidal
මූර්ඡනාව	modulation
මුලාසි	scarcity
ශුෂ්කාහාස	xeroplastic
විශ්ලේෂකයා	analyst
පුද්ගලනිහ්ශ්‍රීත	subjective
ටෙට්‍රතයොනේට්	tetrathionate
අනුචුම්බක	paramagnetic
ඩිලොන්සිං	delonsing
සිඟුවත්	norny
ඓන්ද්‍රීය	non-chemically|organic|sensory
පෙයෝජිතිස්මය	peyotism
කුල්‍යාව	sulcus
නිදහස්	adrift|clear|disengaged|free|independent|loose|quit|unfettered
එසේය	yea|yeah|yes
ත්‍රිශ්‍රේණික	triseriate
වංශප්‍රවේණික	phylogenetic
වණික්	merchant
නෘත්‍යෝජිත්සවය	ball
සූත්තරය	contraption|stunt
ගෙල	neck|pipe|throat
පාද	basal|base|feet
විත්‍රාසය	horror
තථ්‍ය	actual|authentic|eternal|exact|factual|real|true
ප්‍රාථමික	preliminary|primary|prime|primeval|rudimentary
සුරතලී	poppet
යැදුම්කරු	claimant
සේවානියුක්තියා	employee
ලානෝ	llano
අඩුවැඩිය	apparatus|implements|materials|requisites|stuff
ථුල්ල	fat|huge
තරවනවා	smear
ජන්මාණුධානිය	gametangium
තීටා	theta
ආරාමය	garden|monastery|pleasance|pleasure-garden
නිරනුමානව	undoubtedly
සමෝච්චකරණය	contouring
විරෝධතාවය	remonstrance
අකොටිලය	acotyledon
නොටය	knot
පලංවය	scaffold|trestle
සිවවානරයා	sivapithecus
ලම්බකය	perpendicular
නග්නත්වය	nudity
උපයෝජ්‍ය	adaptable|adapted|adaptive
මැඩවිල්ල	harrowing
අනුහාරය	resemblance
සවිකිරීම	installation|bracketing
රුධිරද්‍රවය	serum
පතිකුල	covert
වේපථුව	vibrato
ධනවත්තු	wealth
අඩමාන	precarious|uncertain
හාවා	hare
එකල්	then
පාත්‍රවර්ගයා	character
ආඥාත්මක	authoritative
විෂමජාතීයතාව	heterogeneity|heterogenity
ප්‍රතිපාලකයා	vice-regent
බහුධෘවිය	multipolar
මනෝසීල	realgar
දියමඟ	channel
අත්ලාන්ත්‍රෝපුස්	atlanthropus
ඉවත	aside|away|off
මිහිපල්	king
සංක්‍රාන්තික	transitive
භාරගතිවිද්‍යාව	barodynamics
මැතිරූ	charmed
වෛෂයිකත්වය	objectivity
ටඹ	pillar
හිරියල්	ochre|orpiment
ස්වයංසිද්ධජාත	autogenetic
ළමඟ	cardamom
බමනතුර	swing
සේයාරුව	film
පරියන්ත්‍රණ	hardware
ලයිපොලිටික	lipolytic
ශාඛීය	ramal
ඇස්වට්ටිය	screen
අසමානකම	contrast|disparity|dissimilarity
තේජස්වී	awesome|magnificent|majestic|radiant|splendid
අධෝවර්ධය	hypophysis
පම්පරාව	succession
